team,from,to
Arizona Diamondbacks,1998,2018
Atlanta Braves,1876,2018
Baltimore Orioles,1901,2018
Boston Red Sox,1901,2018
Chicago Cubs,1876,2018
Chicago White Sox,1901,2018
Cincinnati Reds,1882,2018
Cleveland Indians,1901,2018
Colorado Rockies,1993,2018
Detroit Tigers,1901,2018
Houston Astros,1962,2018
Kansas City Royals,1969,2018
Los Angeles Angels,1961,2018
Los Angeles Dodgers,1884,2018
Miami Marlins,1993,2018
Milwaukee Brewers,1969,2018
Minnesota Twins,1901,2018
New York Mets,1962,2018
New York Yankees,1903,2018
Oakland Athletics,1901,2018
Philadelphia Phillies,1883,2018
Pittsburgh Pirates,1882,2018
San Diego Padres,1969,2018
San Francisco Giants,1883,2018
Seattle Mariners,1977,2018
St. Louis Cardinals,1882,2018
Tampa Bay Rays,1998,2018
Texas Rangers,1961,2018
Toronto Blue Jays,1977,2018
Washington Nationals,1969,2018