team,num_fielders,field_ra_per_game,defEff,field_games_played,field_games_started,field_games_completed,field_innings_played,defensive_chances,putouts,assists,field_errors,double_plays,fielding_pct,field_rtot,field_rtot_per_year,field_rdrs,field_rdrs_per_year
ARI,52,4.58,.673,162,1458,1209,12999.0,6079,4333,1645,101,147,.983,-4,0,33,1
ATL,39,3.69,.687,162,1458,1191,13095.0,5977,4365,1527,85,143,.986,23,2,-1,0
BAL,43,3.66,.706,162,1458,1124,13152.0,6075,4384,1604,87,156,.986,41,4,57,5
BOS,55,4.41,.685,162,1458,1136,13191.0,6099,4397,1610,92,155,.985,5,0,42,4
CHC,48,4.36,.680,162,1458,1120,13170.0,6161,4390,1668,103,137,.983,-17,-2,-35,-3
CHW,44,4.68,.678,162,1458,1144,12969.0,6112,4323,1682,107,170,.982,-62,-6,-48,-4
CIN,45,3.78,.712,162,1458,1145,13014.0,5998,4338,1588,72,120,.988,65,6,63,6
CLE,45,4.03,.673,162,1458,1153,13215.0,6120,4405,1599,116,139,.981,-47,-4,-63,-1
COL,49,5.05,.678,162,1458,1109,12879.0,6207,4293,1808,106,166,.983,35,3,2,0
DET,48,4.35,.673,162,1458,1079,13086.0,6001,4362,1538,101,153,.983,-91,-8,-69,-6
HOU,48,4.46,.685,162,1458,1167,12948.0,6126,4316,1704,106,151,.983,-46,-4,-10,-1
KCR,48,3.85,.693,162,1458,1127,13056.0,5968,4352,1512,104,122,.983,31,3,35,1
LAA,54,3.89,.703,162,1458,1061,13344.0,6010,4447,1480,83,127,.986,2,0,-10,-1
LAD,49,3.81,.690,162,1458,1074,13182.0,6208,4394,1707,107,145,.983,5,0,20,0
MIA,44,4.16,.675,162,1458,1168,13119.0,6170,4373,1700,97,154,.984,-22,-2,-16,0
MIL,40,4.06,.696,162,1458,1110,13119.0,6074,4373,1602,99,130,.984,10,1,10,1
MIN,48,4.80,.672,162,1458,1155,12915.0,5981,4305,1579,97,136,.984,-60,-6,-90,-1
NYM,45,3.81,.688,162,1458,1137,13173.0,6112,4391,1617,104,158,.983,-15,-1,15,0
NYY,58,4.10,.687,162,1458,1120,13077.0,5925,4359,1474,92,107,.984,-17,-2,13,1
OAK,43,3.53,.710,162,1458,1048,13170.0,6135,4390,1634,111,150,.982,19,2,24,0
PHI,49,4.24,.693,162,1458,1154,13215.0,6161,4405,1673,83,133,.987,-9,-1,-42,-1
PIT,44,3.90,.694,162,1458,1043,13107.0,6316,4369,1838,109,148,.983,31,3,40,4
SDP,51,3.56,.695,162,1458,1039,12948.0,5977,4316,1560,101,124,.983,27,2,46,4
SEA,44,3.42,.712,162,1458,1136,13068.0,6046,4356,1608,82,139,.986,33,3,6,0
SFG,46,3.79,.703,162,1458,1054,13041.0,6146,4347,1699,100,155,.984,42,4,10,1
STL,45,3.72,.701,162,1458,1094,13038.0,6051,4346,1617,88,145,.985,32,3,61,6
TBR,41,3.86,.700,162,1458,1108,13173.0,5788,4391,1309,88,96,.985,-21,-2,-21,0
TEX,64,4.77,.675,162,1458,1186,12837.0,5798,4279,1413,106,155,.982,-39,-4,-43,-1
TOR,55,4.23,.693,162,1458,995,12987.0,5944,4329,1528,87,130,.985,-15,-1,-38,-1
WSN,40,3.43,.691,162,1458,1167,13236.0,6137,4412,1625,100,139,.984,31,3,11,0