Franchise_ID,Team_ID,Full_Team_Name,First_Year
ANA,ANA,Los Angeles Angels of Anaheim,1997
ARI,ARI,Arizona Diamondbacks,1998
ATL,ATL,Atlanta Braves,1966
BAL,BAL,Baltimore Orioles,1954
BOS,BOS,Boston Red Sox,1901
CHC,CHC,Chicago Cubs,1876
CHW,CHW,Chicago White Sox,1901
CIN,CIN,Cincinnati Reds,1882
CLE,CLE,Cleveland Indians,1901
COL,COL,Colorado Rockies,1993
DET,DET,Detroit Tigers,1901
FLA,MIA,Miami Marlins,2012
HOU,HOU,Houston Astros,1962
KCR,KCR,Kansas City Royals,1969
LAD,LAD,Los Angeles Dodgers,1958
MIL,MIL,Milwaukee Brewers,1970
MIN,MIN,Minnesota Twins,1961
NYM,NYM,New York Mets,1962
NYY,NYY,New York Yankees,1903
OAK,OAK,Oakland Athletics,1968
PHI,PHI,Philadelphia Phillies,1883
PIT,PIT,Pittsburgh Pirates,1882
SDP,SDP,San Diego Padres,1969
SEA,SEA,Seattle Mariners,1977
SFG,SFG,San Francisco Giants,1958
STL,STL,St. Louis Cardinals,1882
TBD,TBR,Tampa Bay Rays,2008
TEX,TEX,Texas Rangers,1972
TOR,TOR,Toronto Blue Jays,1977
WSN,WSN,Washington Nationals,2005